Final particle positions and velocities
Particle 34: 2886.02146585 13974.86926949 3901.15264068 -819.53434181
Particle Collisions: 71 Wall collisions: 123
Particle 35: 7542.29045964 10151.38663441 797.12704413 1747.99681411
Particle Collisions: 71 Wall collisions: 138
Particle 36: 15826.11073927 15161.08629248 1563.62388115 -893.19344107
Particle Collisions: 52 Wall collisions: 115
Particle 37: 7294.11988146 19999.00000000 703.26469796 2001.91343690
Particle Collisions: 79 Wall collisions: 127
Particle 38: 9126.11840633 2620.22482368 -2265.07711474 -1692.19903771
Particle Collisions: 70 Wall collisions: 129
Particle 39: 7442.19116557 3891.31245409 -3270.85601756 2834.30917071
Particle Collisions: 56 Wall collisions: 118
Particle 40: 7095.05477094 18911.30370787 1113.79343456 -2703.60935211
Particle Collisions: 72 Wall collisions: 136
Particle 41: 19999.00000000 15786.51632397 3649.36137884 -918.70041208
Particle Collisions: 64 Wall collisions: 145
Particle 42: 8368.85296595 18243.16228371 3238.22307619 3317.97378395
Particle Collisions: 63 Wall collisions: 134
Particle 43: 19718.00471411 10904.30139848 -3604.14021140 3182.37044763
Particle Collisions: 65 Wall collisions: 145
Particle 44: 4599.44067353 492.10897256 -3174.49407991 -2988.41059917
Particle Collisions: 66 Wall collisions: 134
Particle 45: 10541.88386245 6331.35285199 4303.45818757 -2463.28347891
Particle Collisions: 81 Wall collisions: 139
Particle 46: 13482.84133081 11968.99792889 1864.07838974 2663.83316074
Particle Collisions: 60 Wall collisions: 146
Particle 47: 3455.28218964 19798.80036560 1343.28794710 -2079.51439127
Particle Collisions: 59 Wall collisions: 128
Particle 48: 13225.31824366 17405.01860812 3269.89120541 -4356.17365332
Particle Collisions: 64 Wall collisions: 131
Particle 49: 10193.43061619 1344.29966632 3203.62324158 3874.83982218
Particle Collisions: 75 Wall collisions: 148
Particle 50: 4610.32651275 8146.56723827 -4145.30247612 4652.17820636
Particle Collisions: 69 Wall collisions: 138
Particle 51: 18315.04338923 14444.70901926 -841.97830538 -2388.78742379
Particle Collisions: 68 Wall collisions: 135
Particle 52: 7021.75236417 1807.91572476 2782.22506416 2193.43386110
Particle Collisions: 69 Wall collisions: 131
Particle 53: 14702.98031611 11330.14253494 1946.04123197 -4334.42873253
Particle Collisions: 57 Wall collisions: 132
Particle 54: 14108.56314030 11113.02534701 2966.35680553 -3689.37450122
Particle Collisions: 63 Wall collisions: 114
Particle 55: 10472.44162517 14936.54051891 -4431.57287517 -2531.22974054
Particle Collisions: 68 Wall collisions: 134
Particle 56: 19097.62930066 5486.59594350 3182.77155011 -2396.55276838
Particle Collisions: 51 Wall collisions: 141
Particle 57: 4152.35206085 4376.60926970 -3382.88313084 -2426.08682935
Particle Collisions: 69 Wall collisions: 128
Particle 58: 2986.65728775 1453.62206098 -1749.55635162 -4935.00669094
Particle Collisions: 67 Wall collisions: 134
Particle 59: 7885.31828333 2482.29591508 1117.27955566 -2875.93897268
Particle Collisions: 63 Wall collisions: 139
Particle 60: 4357.43759919 2567.80947904 2572.31195535 -4810.52559662
Particle Collisions: 66 Wall collisions: 143
Particle 61: 15742.66547369 14144.54775861 -1973.51457140 -4359.02115757
Particle Collisions: 71 Wall collisions: 139
Particle 62: 985.76134675 19999.00000000 -5185.33086716 2300.16212923
Particle Collisions: 79 Wall collisions: 129
Particle 63: 10469.33368989 13685.58557998 -1681.08202788 3159.92945575
Particle Collisions: 70 Wall collisions: 140
Particle 64: 7052.57044278 2752.93591887 3525.78522139 1157.64432469
Particle Collisions: 66 Wall collisions: 131
Particle 65: 1095.19963427 3143.30791274 2122.60171849 -2407.95601247
Particle Collisions: 63 Wall collisions: 143
Particle 66: 13578.42107350 13236.76978253 4102.58259626 773.55291929
Particle Collisions: 64 Wall collisions: 126
Particle 67: 1509.35412611 10929.16066895 948.26845400 2732.04016724
Particle Collisions: 81 Wall collisions: 138
Particle 68: 14430.82863531 4555.95749012 -4750.68986569 -1672.97067029
Particle Collisions: 64 Wall collisions: 113
Particle 69: 4366.86950268 5356.37544876 -4453.76631217 -1110.30277669
Particle Collisions: 65 Wall collisions: 118
Particle 70: 10739.15397272 8004.59286119 5567.87969051 -861.49329023
Particle Collisions: 64 Wall collisions: 123
Particle 71: 12047.27371137 15869.53769174 -4151.51317651 -2091.60238575
Particle Collisions: 71 Wall collisions: 131
Particle 72: 7623.04349355 9101.41694768 -705.24827743 988.98498694
Particle Collisions: 57 Wall collisions: 128
Particle 73: 11998.41114923 2181.98309017 -5075.54442989 2180.98309017
Particle Collisions: 57 Wall collisions: 147
Particle 74: 4720.72368858 19999.00000000 3458.73574743 744.98573283
Particle Collisions: 69 Wall collisions: 132
Particle 75: 8954.61982678 18258.25564933 3858.03904852 1521.43797078
Particle Collisions: 72 Wall collisions: 115
Particle 76: 6446.11885595 3069.64666944 -3238.88276161 -513.90150252
Particle Collisions: 74 Wall collisions: 151
Particle 77: 12229.64449103 9796.07155003 3749.17607473 1322.96670430
Particle Collisions: 54 Wall collisions: 139
Particle 78: 859.46946420 19999.00000000 1496.29401036 3329.54016393
Particle Collisions: 70 Wall collisions: 124
Particle 79: 15062.21823086 3830.31608764 4122.37572340 3829.31608764
Particle Collisions: 63 Wall collisions: 146
Particle 80: 13221.82758870 8829.71739689 2332.03861945 -893.51645890
Particle Collisions: 69 Wall collisions: 133
Particle 81: 18070.43602592 18773.57482193 3613.88720518 -4152.93726039
Particle Collisions: 72 Wall collisions: 130
Particle 82: 4915.79857815 1.00000000 -1174.91249419 -3967.32093714
Particle Collisions: 68 Wall collisions: 123
Particle 83: 6731.15338962 1133.62996893 4445.80235807 3521.77166149
Particle Collisions: 81 Wall collisions: 129
Particle 84: 16447.17799240 12404.47513016 -5789.27123767 -828.08025108
Particle Collisions: 76 Wall collisions: 130
Particle 85: 16584.99087647 1.00000000 1022.73374418 -4662.40196237
Particle Collisions: 55 Wall collisions: 136
Particle 86: 19815.11437387 8921.25906692 3673.91942562 2290.95275227
Particle Collisions: 71 Wall collisions: 148
Particle 87: 1868.26106116 5165.80921629 4091.25092092 -3180.40906448
Particle Collisions: 58 Wall collisions: 144
Particle 88: 1.00000000 7456.55205584 -2502.40577157 -4003.59189343
Particle Collisions: 75 Wall collisions: 138
Particle 89: 5542.96334247 18358.96834062 -3614.00916438 1946.18130486
Particle Collisions: 53 Wall collisions: 119
Particle 90: 2628.88475393 3654.18722570 -1311.97757460 -4418.17966446
Particle Collisions: 61 Wall collisions: 122
Particle 91: 18143.36360779 2574.15303757 2793.07186850 1920.85044751
Particle Collisions: 76 Wall collisions: 131
Particle 92: 7126.34873392 8502.46034993 -1533.71282661 -706.51866786
Particle Collisions: 60 Wall collisions: 130
Particle 93: 14474.65653798 8068.13149456 3830.18405978 -4564.86062714
Particle Collisions: 83 Wall collisions: 140
Particle 94: 18283.75930238 19289.87168332 -2513.90611527 4229.69156953
Particle Collisions: 57 Wall collisions: 130
Particle 95: 470.94822324 17936.21120055 3981.35142920 4308.36087343
Particle Collisions: 70 Wall collisions: 140
Particle 96: 14799.35999681 1993.51640523 -3768.21714029 -2235.49903499
Particle Collisions: 57 Wall collisions: 135
Particle 97: 2107.50873213 15270.55701730 -4529.34562303 4532.29545625
Particle Collisions: 68 Wall collisions: 158
Particle 98: 8925.06059589 13910.10698111 4131.02380753 -4608.48930189
Particle Collisions: 63 Wall collisions: 132
Particle 99: 12317.54010329 14384.84388104 -1693.55725225 -3029.16249625
Particle Collisions: 71 Wall collisions: 145
Particle 100: 7325.19538750 12416.92063817 -4950.65414445 2319.25038596
Particle Collisions: 61 Wall collisions: 139
Particle 101: 8465.91606047 8922.82003289 -2371.95313002 -1230.68666301
Particle Collisions: 66 Wall collisions: 131
Particle 102: 1327.79194383 6280.30144628 -326.31931646 -2284.52812029
Particle Collisions: 64 Wall collisions: 146
Particle 103: 18609.32327491 11224.68652691 -3092.59403151 -2086.33743410
Particle Collisions: 48 Wall collisions: 138
Particle 104: 5685.43425489 11568.97563074 2030.40839270 2997.21044508
Particle Collisions: 55 Wall collisions: 141
Particle 105: 3725.62576050 16085.35874472 -2998.94187220 4467.34828163
Particle Collisions: 78 Wall collisions: 140
Particle 106: 7056.62591623 7813.47457801 -2339.06622696 -1342.75297801
Particle Collisions: 54 Wall collisions: 134
Particle 107: 3928.85854069 1.00000000 -3587.55708668 -890.28542803
Particle Collisions: 70 Wall collisions: 143
Particle 108: 17425.51064055 9738.85559863 4355.52563404 2434.46389966
Particle Collisions: 57 Wall collisions: 128
Particle 109: 4906.42596779 19093.88123394 -1192.69121947 1150.99183340
Particle Collisions: 62 Wall collisions: 133
Particle 110: 8078.81890185 6370.82777597 -951.59257994 4552.74281510
Particle Collisions: 69 Wall collisions: 143
Particle 111: 4080.67973910 13574.72533045 4079.67973910 -4466.10079083
Particle Collisions: 67 Wall collisions: 128
Particle 112: 18566.47991904 16023.77890144 3371.09456729 -795.04421971
Particle Collisions: 69 Wall collisions: 148
Particle 113: 10527.69784410 12370.95756091 752.55713139 -4517.40690247
Particle Collisions: 65 Wall collisions: 134
Particle 114: 14403.24075277 272.84261386 2104.89812917 -2141.05703971
Particle Collisions: 59 Wall collisions: 128
Particle 115: 9870.86497856 15670.60967866 1071.18697084 3776.84479054
Particle Collisions: 70 Wall collisions: 130
Particle 116: 1904.38224300 5791.45615231 898.44211875 2562.69604568
Particle Collisions: 60 Wall collisions: 131
Particle 117: 16933.88125068 12569.87877641 -2133.28333423 1561.87545503
Particle Collisions: 70 Wall collisions: 129
Particle 118: 7000.47797714 11325.67279071 4700.64038830 -2158.23491780
Particle Collisions: 61 Wall collisions: 148
Particle 119: 12219.14511110 6197.00246387 3051.32828903 1085.63770458
Particle Collisions: 62 Wall collisions: 129
Particle 120: 4197.65867574 222.03198343 684.10832576 -776.41538382
Particle Collisions: 63 Wall collisions: 136
Particle 121: 14573.87846676 4458.22940487 -4907.08624020 -4987.80232035
Particle Collisions: 78 Wall collisions: 146
Particle 122: 3227.17906636 15730.49862961 869.81458837 -3532.58499205
Particle Collisions: 65 Wall collisions: 126
Particle 123: 9392.73044895 11733.24424556 3130.46922733 2446.28406999
Particle Collisions: 69 Wall collisions: 138
Particle 124: 318.67251791 9018.11599075 3284.45216558 -4821.91621870
Particle Collisions: 64 Wall collisions: 140
Particle 125: 19666.82849505 9417.67856847 -4066.03430099 -1938.65963474
Particle Collisions: 70 Wall collisions: 127
Particle 126: 8051.91413838 18497.55099455 675.60656733 -730.81334092
Particle Collisions: 51 Wall collisions: 135
Particle 127: 7157.21820982 1456.11042582 3349.57230725 4753.41311875
Particle Collisions: 77 Wall collisions: 137
Particle 128: 13166.47945697 2509.83558273 -3416.26027152 -3660.73564120
Particle Collisions: 72 Wall collisions: 141
Particle 129: 11202.78708299 19443.33075698 1373.77150742 1284.65624871
Particle Collisions: 65 Wall collisions: 129
Particle 130: 19216.64970989 10777.86997134 2899.20579174 3090.95715539
Particle Collisions: 68 Wall collisions: 132
Particle 131: 19637.84368309 13834.87778800 1398.34830735 3734.02833433
Particle Collisions: 55 Wall collisions: 134
Particle 132: 11457.51064717 18670.00566242 2806.79593711 -1441.16249089
Particle Collisions: 71 Wall collisions: 133
Particle 133: 12365.30376600 19247.97048502 -4574.37421839 3331.20083030
Particle Collisions: 47 Wall collisions: 122
Particle 134: 3490.38199073 1428.15390018 3637.97654571 -4750.79903569
Particle Collisions: 72 Wall collisions: 142
Particle 135: 2817.98286518 6821.40172844 1520.99885768 -4771.74634530
Particle Collisions: 65 Wall collisions: 120
Particle 136: 3787.74411906 8091.55516087 -4523.15357271 -3988.18060489
Particle Collisions: 71 Wall collisions: 141
Particle 137: 3962.67312940 3040.66476020 -3130.88647459 1573.58015442
Particle Collisions: 65 Wall collisions: 125
Particle 138: 10710.83465510 12956.74035689 -3345.34827731 -3648.15908054
Particle Collisions: 76 Wall collisions: 134
Particle 139: 6526.83439054 18014.13095714 -3846.72564340 -2802.85662214
Particle Collisions: 75 Wall collisions: 128
Particle 140: 13657.04050211 12583.32246193 3287.07115900 5500.09267574
Particle Collisions: 83 Wall collisions: 133
Particle 141: 14647.22987218 9236.25031070 -2206.97235122 -3136.31177864
Particle Collisions: 66 Wall collisions: 135
Particle 142: 14939.42353760 1061.41306106 -1353.57029497 -2104.17632655
Particle Collisions: 64 Wall collisions: 135
Particle 143: 19172.38907840 17449.00763788 3815.97547243 -874.24058768
Particle Collisions: 59 Wall collisions: 141
Particle 144: 9230.47528009 2710.74723702 -2153.70494398 1749.31545530
Particle Collisions: 66 Wall collisions: 137
Particle 145: 6297.37629410 14762.38552848 -2683.56758553 -2702.72367661
Particle Collisions: 77 Wall collisions: 148
Particle 146: 19999.00000000 8144.47001808 2857.79393671 -1982.56068523
Particle Collisions: 55 Wall collisions: 142
Particle 147: 11352.95561863 4393.85843598 2806.16982558 2217.35076691
Particle Collisions: 58 Wall collisions: 135
Particle 148: 18090.50459698 6194.25324235 -4381.29908060 750.63813636
Particle Collisions: 64 Wall collisions: 131
Particle 149: 17665.63883429 1.00000000 -3580.78100790 -3654.03150961
Particle Collisions: 60 Wall collisions: 131
Particle 150: 2624.83695431 11760.32388141 -4582.87229868 2736.20411205
Particle Collisions: 52 Wall collisions: 134
Particle 151: 4230.19864672 6718.31023468 3273.26959652 -1458.29313207
Particle Collisions: 60 Wall collisions: 142
Particle 152: 2776.23302784 4748.74867647 3951.53345980 3960.28826259
Particle Collisions: 55 Wall collisions: 144
Particle 153: 9656.77577092 8646.08174572 959.58674994 -3337.06222884
Particle Collisions: 49 Wall collisions: 122
Particle 154: 14326.40389843 1098.91466802 1815.85849779 -4026.43521958
Particle Collisions: 63 Wall collisions: 129
Particle 155: 7445.81695435 302.81653424 -2092.19717428 -2142.31429885
Particle Collisions: 53 Wall collisions: 130
Particle 156: 19999.00000000 13201.88585058 4379.26139206 3711.70926797
Particle Collisions: 74 Wall collisions: 129
Particle 157: 4632.88412783 18567.43192781 545.08563415 3008.19062527
Particle Collisions: 68 Wall collisions: 136
Particle 158: 16626.43734485 19957.71008092 2736.07045255 -3406.49061783
Particle Collisions: 58 Wall collisions: 132
Particle 159: 14006.47669803 16516.98660232 1628.37006622 -3628.68281125
Particle Collisions: 51 Wall collisions: 132
Particle 160: 10269.49826087 5712.85557786 -4808.69616455 -1489.30594065
Particle Collisions: 59 Wall collisions: 134
Particle 161: 5251.02204069 18178.02073755 -811.04508593 3181.25172813
Particle Collisions: 58 Wall collisions: 131
Particle 162: 1087.45362348 6766.04618893 -3095.52379457 -1831.23106980
Particle Collisions: 62 Wall collisions: 133
Particle 163: 8264.05046060 7262.54075839 4900.09132998 713.04415491
Particle Collisions: 61 Wall collisions: 136
Particle 164: 9229.76421373 14468.23301239 -2275.25145695 -2955.60654501
Particle Collisions: 59 Wall collisions: 146
Particle 165: 7718.14834056 4691.97109910 817.92733735 2613.82083725
Particle Collisions: 63 Wall collisions: 143
Particle 166: 7046.66003201 14672.76565080 2302.31799594 -1775.41144973
Particle Collisions: 55 Wall collisions: 140
Particle 167: 11931.44269555 7509.18913583 -2247.97641340 1233.74385880
Particle Collisions: 67 Wall collisions: 126
Particle 168: 10253.27859948 9775.14337436 -2199.87717061 -2921.32567712
Particle Collisions: 60 Wall collisions: 129
Particle 169: 19999.00000000 13448.22849793 4849.31498432 -4844.49259093
Particle Collisions: 65 Wall collisions: 127
Particle 170: 5366.54790154 11886.31896544 2530.45044146 -4207.77687467
Particle Collisions: 71 Wall collisions: 142
Particle 171: 17701.70122346 16135.60294130 1401.79364130 -674.11488752
Particle Collisions: 65 Wall collisions: 129
Particle 172: 7791.52610570 3394.35995188 -1457.63945963 5218.56806324
Particle Collisions: 71 Wall collisions: 127
Particle 173: 7049.53812187 8595.96208474 -2835.33881836 2853.34174655
Particle Collisions: 45 Wall collisions: 137
Particle 174: 16903.67249541 12125.83070099 4225.66812385 2658.06411348
Particle Collisions: 69 Wall collisions: 132
Particle 175: 18990.54995174 13896.08473186 4425.44163934 2948.44899314
Particle Collisions: 64 Wall collisions: 143
Particle 176: 10367.78945604 17992.21304087 2458.27528550 -3758.91899618
Particle Collisions: 68 Wall collisions: 137
Particle 177: 19975.45720181 15808.01949883 4374.44639839 -1107.22221527
Particle Collisions: 71 Wall collisions: 141
Particle 178: 17295.98664615 4142.91739662 1666.42522935 1915.08417905
Particle Collisions: 53 Wall collisions: 122
Particle 179: 4225.39168722 16516.30555866 -2751.66217791 -3123.74027431
Particle Collisions: 68 Wall collisions: 122
Particle 180: 19686.22717858 9336.02619376 -1759.10246899 -2476.54902059
Particle Collisions: 49 Wall collisions: 139
Particle 181: 19356.25259824 16223.54660131 -3446.60675622 2660.74898689
Particle Collisions: 76 Wall collisions: 151
Particle 182: 8696.28675564 6480.26215336 4529.12013436 -4081.70215726
Particle Collisions: 58 Wall collisions: 128
Particle 183: 15130.30699052 12949.70598442 -1540.14690892 2711.06847713
Particle Collisions: 78 Wall collisions: 141
Particle 184: 14298.72299184 6790.56340001 3428.67065464 -4855.63075779
Particle Collisions: 70 Wall collisions: 136
Particle 185: 10224.90054710 15436.66237139 4955.20695782 -3422.18758300
Particle Collisions: 70 Wall collisions: 151
Particle 186: 10844.40857025 3228.18806800 -2534.42516430 -3701.62509130
Particle Collisions: 65 Wall collisions: 129
Particle 187: 10633.69981383 12429.02182207 -4682.65009308 -2767.13853868
Particle Collisions: 67 Wall collisions: 124
Particle 188: 18738.97172949 14125.65320457 997.43309911 -1128.69582849
Particle Collisions: 67 Wall collisions: 129
Particle 189: 19845.79912199 18662.86332386 -4657.53097410 1620.41272621
Particle Collisions: 59 Wall collisions: 136
Particle 190: 5240.58350618 3503.28676875 -3202.26345734 -1215.66725721
Particle Collisions: 67 Wall collisions: 142
Particle 191: 12004.33109063 11741.88588032 -1557.96540462 3280.98980317
Particle Collisions: 67 Wall collisions: 127
Particle 192: 15371.36141371 14730.98153175 -4627.63858629 -3191.60443181
Particle Collisions: 66 Wall collisions: 142
Particle 193: 11301.43353853 2412.31152780 5813.22711030 -2816.27194544
Particle Collisions: 65 Wall collisions: 136
Particle 194: 14793.65941885 14729.31853271 -2003.88254340 -3631.34221671
Particle Collisions: 80 Wall collisions: 129
Particle 195: 4931.11340787 17133.72022138 1994.98479091 -2342.96958997
Particle Collisions: 49 Wall collisions: 114
Particle 196: 9492.05020442 18503.58715724 -3623.42501163 652.55415196
Particle Collisions: 65 Wall collisions: 129
Particle 197: 19135.37920786 6876.94149948 559.78185965 -1858.62117707
Particle Collisions: 67 Wall collisions: 141
Particle 198: 8713.38766598 17690.76406576 -5046.42587998 3768.77640658
Particle Collisions: 72 Wall collisions: 141
Particle 199: 3412.91498794 19999.00000000 899.51273896 2417.36572958
Particle Collisions: 69 Wall collisions: 132
Particle 200: 364.54925750 6711.66036256 3183.61305185 2794.26072124
Particle Collisions: 72 Wall collisions: 144
Particle 201: 19927.68167846 8083.47626587 1279.80721708 677.88382875
Particle Collisions: 78 Wall collisions: 133
Particle 202: 6546.21186864 12134.99378366 -4368.07384214 3010.55334066
Particle Collisions: 62 Wall collisions: 123
Particle 203: 4478.85288181 13413.98536056 -700.24570309 -4914.63263369
Particle Collisions: 67 Wall collisions: 124
Particle 204: 7061.80752800 13113.80951521 2098.65673208 2338.83772669
Particle Collisions: 63 Wall collisions: 134
Particle 205: 16493.44079992 14388.76037393 -4156.23214523 -4617.40656209
Particle Collisions: 85 Wall collisions: 141
Particle 206: 16911.56906079 10296.64734313 -811.30406954 1870.16064589
Particle Collisions: 53 Wall collisions: 134
Particle 207: 12440.25068531 2963.17554238 -2280.83725491 -1328.92335779
Particle Collisions: 73 Wall collisions: 148
Particle 208: 8238.25167644 9657.79546129 2176.19128874 -4572.09479138
Particle Collisions: 68 Wall collisions: 138
Particle 209: 9550.34018505 8126.40147589 3701.17931248 -2449.10831304
Particle Collisions: 63 Wall collisions: 131
Particle 210: 8114.51283026 8777.85800802 4057.34639138 -1057.43395482
Particle Collisions: 67 Wall collisions: 135
Particle 211: 12583.77984433 11480.58742166 -2220.73301158 3826.52914055
Particle Collisions: 78 Wall collisions: 131
Particle 212: 9110.68654887 2639.58050939 -4556.25690763 -1132.89655019
Particle Collisions: 59 Wall collisions: 134
Particle 213: 1546.23527943 16526.17916171 -3075.46078676 4183.42381669
Particle Collisions: 58 Wall collisions: 125
Particle 214: 3180.48239973 2108.77884406 -1075.54135023 -972.35394328
Particle Collisions: 55 Wall collisions: 122
Particle 215: 3715.65901285 4855.63712618 -2595.13843236 -1605.99827449
Particle Collisions: 72 Wall collisions: 132
Particle 216: 14087.66191713 7360.75339046 4260.58273964 3369.65960541
Particle Collisions: 52 Wall collisions: 140
Particle 217: 9800.28712057 18281.63540420 3266.42904019 -3379.70001829
Particle Collisions: 68 Wall collisions: 131
Particle 218: 17413.83552465 2309.48110141 2793.92469901 -2421.95550071
Particle Collisions: 69 Wall collisions: 140
Particle 219: 5935.62760155 10706.86230474 3533.72812579 -1634.25864657
Particle Collisions: 55 Wall collisions: 144
Particle 220: 2636.25300944 13677.38739493 -4412.21130697 -3974.28052650
Particle Collisions: 55 Wall collisions: 136
Particle 221: 3284.51334069 2575.31324602 -4056.40393502 2574.31324602
Particle Collisions: 74 Wall collisions: 124
Particle 222: 6077.35593012 1273.99471273 -3848.14736594 1863.14190936
Particle Collisions: 63 Wall collisions: 145
Particle 223: 17174.70783931 9101.37306442 -3086.42694661 3449.80375087
Particle Collisions: 61 Wall collisions: 120
Particle 224: 6839.74271728 19409.29828448 -4236.43218039 767.89544425
Particle Collisions: 62 Wall collisions: 127
Particle 225: 17483.52999794 3909.16780243 2653.12351096 -3887.27308231
Particle Collisions: 50 Wall collisions: 112
Particle 226: 10875.12114978 6434.31079107 984.05299388 1409.44008698
Particle Collisions: 62 Wall collisions: 141
Particle 227: 9356.32234173 18469.49307957 1257.34503649 -2291.39258245
Particle Collisions: 59 Wall collisions: 127
Particle 228: 5410.54466793 19625.53185560 3397.04470206 993.35457947
Particle Collisions: 72 Wall collisions: 132
Particle 229: 365.92118734 5835.14682620 -3751.53682974 -4429.51287211
Particle Collisions: 58 Wall collisions: 128
Particle 230: 16737.11470535 9973.12788309 1689.11105044 4172.15763922
Particle Collisions: 64 Wall collisions: 143
Particle 231: 14117.54526831 19999.00000000 -2460.31493985 2002.36450246
Particle Collisions: 53 Wall collisions: 130
Particle 232: 6658.62570504 19141.09914640 2379.81477934 -2909.37644737
Particle Collisions: 62 Wall collisions: 128
Particle 233: 16250.79178170 14222.31196334 4086.88957972 -1151.03886837
Particle Collisions: 69 Wall collisions: 133
Particle 234: 17900.40997965 9958.56858529 -3765.89704105 3830.34762105
Particle Collisions: 66 Wall collisions: 137
Particle 235: 10988.12924363 18998.50299889 -809.71258382 -3726.95427283
Particle Collisions: 57 Wall collisions: 135
Particle 236: 17859.20222802 13242.31734363 1796.40064616 -1470.07614176
Particle Collisions: 68 Wall collisions: 137
Particle 237: 5746.42086855 6500.65510272 2137.88357253 -1783.14482991
Particle Collisions: 70 Wall collisions: 120
Particle 238: 18488.26000673 9599.91405140 1371.43648363 -2367.33760574
Particle Collisions: 62 Wall collisions: 130
Particle 239: 19999.00000000 19038.57599992 3613.92684481 -3698.59984857
Particle Collisions: 60 Wall collisions: 146
Particle 240: 1885.18718985 14419.90461331 1666.52695127 2351.66152548
Particle Collisions: 66 Wall collisions: 132
Particle 241: 8845.22716912 13676.65262292 704.73512270 -5327.59149822
Particle Collisions: 65 Wall collisions: 142
Particle 242: 7241.62094571 6766.64554374 -1763.07320461 2537.39939451
Particle Collisions: 56 Wall collisions: 128
Particle 243: 12585.29298467 2740.13413133 1944.96693521 -2654.44441352
Particle Collisions: 82 Wall collisions: 145
Particle 244: 2910.34387003 1.00000000 -857.96273087 -3316.58293273
Particle Collisions: 63 Wall collisions: 123
Particle 245: 1515.97021057 6820.98254313 1906.83766433 1430.47597898
Particle Collisions: 62 Wall collisions: 111
