Final particle positions and velocities
Particle 0: 3939.34515520 16840.20029190 -2644.24300983 -1899.87964667
Particle Collisions: 59 Wall collisions: 141
Particle 1: 11405.84469234 6179.46171482 -2660.13996197 2834.69280970
Particle Collisions: 65 Wall collisions: 128
Particle 2: 10719.55339856 16201.18581462 3662.48142087 -4930.34140756
Particle Collisions: 66 Wall collisions: 140
Particle 3: 6833.69007196 9953.93434811 3687.71373097 2661.43887015
Particle Collisions: 60 Wall collisions: 151
Particle 4: 5786.99721433 17356.98248501 -2139.13473929 -4020.91604998
Particle Collisions: 60 Wall collisions: 134
Particle 5: 5495.38814957 10043.06471159 4248.73135826 4779.81811395
Particle Collisions: 63 Wall collisions: 143
Particle 6: 6179.13410015 15426.08575421 -2027.24327367 1528.48098113
Particle Collisions: 75 Wall collisions: 139
Particle 7: 9945.25928452 13742.25686237 940.23002343 2748.25137247
Particle Collisions: 63 Wall collisions: 132
Particle 8: 12045.16923815 7742.11694033 -795.38307619 4536.06903908
Particle Collisions: 53 Wall collisions: 131
Particle 9: 10960.18736662 12949.96680047 -971.18183254 -2557.85456621
Particle Collisions: 61 Wall collisions: 141
Particle 10: 417.45668291 5441.32486254 -1018.60738133 2549.57684754
Particle Collisions: 57 Wall collisions: 143
Particle 11: 4217.90616455 7496.56815488 -2681.53099859 -2911.35531536
Particle Collisions: 58 Wall collisions: 153
Particle 12: 14154.21287535 8532.41221242 6689.27212782 -293.86724987
Particle Collisions: 70 Wall collisions: 133
Particle 13: 15079.74896638 2479.90583600 1772.86851888 -4182.54842604
Particle Collisions: 58 Wall collisions: 142
Particle 14: 6816.79288203 4840.06672073 -2009.94916924 975.99410410
Particle Collisions: 57 Wall collisions: 139
Particle 15: 1800.62024219 3094.44023936 1061.82720324 -939.14220892
Particle Collisions: 58 Wall collisions: 128
Particle 16: 15799.21483403 1506.21289146 -3071.00498517 1505.21289146
Particle Collisions: 84 Wall collisions: 113
Particle 17: 16593.60208378 8949.08405733 -4962.07643684 2982.69468578
Particle Collisions: 66 Wall collisions: 128
Particle 18: 18783.74509394 14561.50069467 3756.54901879 -4895.07053028
Particle Collisions: 73 Wall collisions: 135
Particle 19: 1578.03659575 17250.25640981 -2814.77139287 2824.53685633
Particle Collisions: 63 Wall collisions: 128
Particle 20: 17647.03332440 7980.92676037 -3933.77298916 2064.18245691
Particle Collisions: 63 Wall collisions: 135
Particle 21: 1183.39446465 12724.48058963 -939.27281897 2847.07885539
Particle Collisions: 65 Wall collisions: 135
Particle 22: 9093.33057625 15628.80535055 3790.50203127 -4370.19464945
Particle Collisions: 69 Wall collisions: 140
Particle 23: 18075.83451030 14935.23287666 2906.14335017 -4123.88091486
Particle Collisions: 67 Wall collisions: 137
Particle 24: 8074.48657903 17495.76424253 977.90140837 -2829.03744795
Particle Collisions: 52 Wall collisions: 141
Particle 25: 19656.62082596 11030.85364579 3745.89083418 -1817.67418808
Particle Collisions: 72 Wall collisions: 136
Particle 26: 3771.89493561 7953.05910987 -1185.79906348 -805.21846696
Particle Collisions: 68 Wall collisions: 129
Particle 27: 15778.19306979 12168.54181674 5839.67304439 2455.45866216
Particle Collisions: 52 Wall collisions: 140
Particle 28: 16261.26707956 17509.81917021 -2937.89370354 3216.37295476
Particle Collisions: 80 Wall collisions: 129
Particle 29: 1704.03816237 19727.16221807 -3829.29618376 4942.75134561
Particle Collisions: 58 Wall collisions: 140
Particle 30: 11741.50478952 17342.30917657 -4386.68138277 -1324.72172508
Particle Collisions: 50 Wall collisions: 151
Particle 31: 9617.40900157 16702.38982738 -1415.68871952 4062.41173002
Particle Collisions: 64 Wall collisions: 141
Particle 32: 12569.98380278 7346.36468458 2995.11624252 -946.00225070
Particle Collisions: 72 Wall collisions: 134
Particle 33: 8749.10986132 9460.54447695 -1874.98168978 4452.35558673
Particle Collisions: 60 Wall collisions: 160
