Final particle positions and velocities
Particle 0: 16246.97359855 2869.45823715 2587.06026672 -3256.95352921
Particle 1: 15955.79434060 18807.16846439 -3004.34497796 3992.73903140
Particle 2: 15453.17668210 15439.70980180 -2762.77972146 -4559.29019820
Particle 3: 14268.63137228 7865.37248600 -2612.49863572 -3073.64837916
Particle 4: 1219.13691179 14360.35757543 -338.62228562 4924.84977291
Particle 5: 19084.72654599 16301.05959444 1204.39277550 -924.48510139
Particle 6: 12775.82765285 12540.48297104 -3658.31904122 -1694.64844800
Particle 7: 4641.81179396 14529.43413036 -3911.47032026 3395.12736936
Particle 8: 13805.75601526 19177.36817154 3358.30844001 3882.87775341
Particle 9: 2261.58358656 2309.46757853 1914.34956694 -2381.06123293
Particle 10: 15557.42517014 8007.24633589 3456.43633699 -4753.39167577
Particle 11: 15816.45046179 11792.82647941 -1857.59299621 -4103.08676030
Particle 12: 4303.78743559 12949.70754675 1316.18974906 -1741.49034843
Particle 13: 7801.26553217 14322.43194652 -2669.27818672 601.44449962
Particle 14: 12534.31023549 18089.13269547 -1171.49091999 -4231.97761335
Particle 15: 11335.79483526 11448.33953261 -790.88348575 5099.35621915
Particle 16: 6621.01876842 8799.62820060 -3300.57348522 -2122.63052202
Particle 17: 106.51463720 452.72696905 4829.66431411 -3976.93695024
Particle 18: 8961.87728928 11035.01530101 4047.30304011 3554.97191384
Particle 19: 16342.01738335 1566.52075662 4039.91657572 2322.04019107
Particle 20: 19918.90363398 10179.19679608 4480.11152873 742.96099681
Particle 21: 18135.53275841 8542.07559469 2102.34307991 -3931.86555066
Particle 22: 8646.46701991 2122.88468626 -2139.27737972 4423.97693725
Particle 23: 17507.86405420 8062.98385106 -1077.30329421 4030.99192553
Particle 24: 6559.47688060 501.90620782 -1702.21894375 -4336.39115672
Particle 25: 2786.80140697 12873.00161940 -3446.21701378 2422.92274623
Particle 26: 7745.45135364 16155.16359559 -969.31036385 -4768.36728088
Particle 27: 6906.98467145 19999.00000000 -4314.45112958 2634.19435811
Particle 28: 18074.24610259 19741.01914365 -1924.75389741 4465.28074386
Particle 29: 3864.37646780 2468.18403123 -4444.89937711 -2275.03529909
Particle 30: 3696.08213755 12654.68004196 3695.08213755 -4126.88450674
Particle 31: 3258.76654478 16220.34852217 -4185.05836380 1285.97326751
Particle 32: 17652.87630186 9807.81062962 -2346.12369814 -2365.99720633
Particle 33: 6584.11435191 1059.69558749 -5172.63081266 4535.73897109
Particle 34: 13292.17521436 2192.54801304 -792.96754463 -4494.00109562
Particle 35: 2941.29075515 12120.60773976 -1741.39466830 3497.62341573
Particle 36: 8775.16385359 7166.54212319 -1245.45810632 4882.23209015
Particle 37: 6157.27845730 9712.61774375 -4036.17651748 -3181.51394350
Particle 38: 12548.68819072 7181.90397924 2645.79647313 2392.23828636
Particle 39: 3531.94251703 14384.04335866 3530.94251703 -1079.44149753
Particle 40: 9749.70602844 10497.95154039 -3337.47399480 -456.38644803
Particle 41: 9873.68064775 12891.23508431 -2300.36487838 2452.58466497
Particle 42: 10604.54669037 15269.87224596 4077.44421131 750.14092769
Particle 43: 10564.12358020 4576.36602462 -3144.95880660 -4677.40080876
Particle 44: 11199.18300327 18874.75143314 -1844.95720898 1430.91282282
Particle 45: 7594.45132116 16966.59813554 -2658.98877004 -2753.08994926
Particle 46: 4821.64373762 14390.28040655 -1718.65425918 2688.63027884
Particle 47: 9161.21556214 15747.14347805 2252.74015277 -1475.91589864
Particle 48: 18727.76150129 352.26322173 -1809.71238500 -1954.97367557
Particle 49: 1311.69625161 18895.72420346 2985.46413372 432.11328158
Particle 50: 13769.61223534 8018.61709784 3323.94693550 -1394.52044513
